"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"00ae9ab8-6eaa-4085-af72-26f96df97fa3",NA,0.757771909458515,0.79847512438675,0.705764409177932,0.854519223650041,0.935064935064935,0.972130572130572
"00cdff29-697a-4a17-ba67-cf55c006b827","CMS2",0.811679817194392,0.615931133933486,0.75291992376625,0.652753820225494,0.00999000999000999,0.0187150511825836
"01947597-c83a-4c5d-8a45-f1fe27992ad5","CMS4",0.799805793339847,0.648986721955523,0.659955842803799,0.544269016242801,0.001,0.00274761904761905
"0194feb1-d8be-45e5-9b95-0596090e9ecc","CMS2",0.786863903658698,0.543678329031095,0.570007951012999,0.733017227765941,0.001,0.00274761904761905
"019bfec7-ec6c-4cd6-808b-3e6e058e55f9","CMS4",0.638330212941451,0.618075265659404,0.703317725342589,0.596612798027365,0.00799200799200799,0.0155265609811064
"01d414a2-2b77-41e8-8622-98b277f5dc85",NA,0.839794692501559,0.657419361508501,0.767466019698362,0.667651659168361,0.275724275724276,0.331443556443556
"02033780-6bc1-407d-bd0f-45b6d74ae87b","CMS1",0.550451337280136,0.825436899537995,0.657582311241625,0.647349420079772,0.001,0.00274761904761905
"0228ad1c-d5ac-4938-9157-4f7738edf233",NA,0.811637389312519,0.674644363238287,0.811080636025491,0.773622918445275,0.291708291708292,0.347759678338191
"025bf99d-1e89-43f3-b0b7-8dfe5d43e192","CMS2",0.808053409472152,0.548299093533079,0.699221359652507,0.798786197645615,0.001,0.00274761904761905
"026818a6-8180-4d9c-9357-b88a832b374e","CMS3",0.70448671998868,0.707364847762343,0.619109449076888,0.702224250807978,0.031968031968032,0.0499879524269768
"028cf419-71ca-4bcd-9f45-3c1c394f1f17","CMS2",0.778722483975318,0.574382412922149,0.77379532881329,0.605095973037341,0.001,0.00274761904761905
"03277451-4bc3-4c62-947a-0951276ee8e9",NA,0.626682628506271,0.77778130079551,0.651907740036885,0.8054325760798,0.038961038961039,0.0585430194805195
"0361fa03-68ca-498f-9de5-0efa5cbf8c70","CMS3",0.789726383900812,0.697208865801263,0.615455818377733,0.816489011771007,0.020979020979021,0.0354982261140619
"03dfd378-4df6-48b6-a160-60d6d9f11533","CMS2",0.738295775235967,0.587808831135565,0.664941455096293,0.661590614464254,0.00599400599400599,0.0127152259505201
"03fc84ec-ac67-4fdd-a7ce-f677cf8b82e6",NA,0.701243476870826,0.75556799178275,0.771362684330733,0.729503899965213,0.635364635364635,0.702309185067806
"04288a35-71ba-421d-80a4-52bb0853aa9f",NA,0.662885504906911,0.822566275517008,0.715060859302994,0.749767269099485,0.547452547452547,0.616953359140859
"04981c65-5d1e-4ced-bfd0-8db2e078b5c2","CMS2",0.732993149582741,0.61636647979781,0.630927051465768,0.664890924617833,0.016983016983017,0.0295156650578337
"055ffec2-1932-4a20-84b8-b841fc0054eb",NA,0.653581651725236,0.709900651427071,0.71410608058144,0.636813703355998,0.0939060939060939,0.122865796335184
"059526c3-7cb1-4bdf-ac9a-0b887014b5fa",NA,0.716164120156758,0.676869315622506,0.736989425348458,0.841894170267733,0.515484515484515,0.585501113060168
"05f2ad36-dc5f-4df4-8f79-afe4f46f81fb",NA,0.816436721217822,0.649773576942303,0.672381086916019,0.8075845765692,0.171828171828172,0.215532293793163
"07576e90-dbad-4c35-8fcd-e9ef89c8addc",NA,0.803154201602725,0.610373218278506,0.752005038546568,0.803135170591988,0.033966033966034,0.0524021433112342
"080f8c74-76c9-484e-b7b7-16a2c60da497",NA,0.775540708257953,0.650397247105762,0.783148236610257,0.77751774216205,0.305694305694306,0.362933362933363
"08239799-b042-41c2-90cd-6a0dad35e54d","CMS3",0.721711851483518,0.692876414555812,0.615267523524926,0.680152876600777,0.024975024975025,0.0412910871363593
"08872f38-d20f-4610-898c-aff8fe15bfe2",NA,0.871627847592923,0.665488005551538,0.769334147439955,0.765337916982753,0.190809190809191,0.236259448705801
"08c9b174-59f5-4d74-8f01-99fbd2531f20","CMS1",0.49907830454698,0.780731105181127,0.613284572267601,0.706734440567354,0.001,0.00274761904761905
"09866ae2-461d-4bc5-88e7-0cc338e502fd","CMS1",0.618684026324263,0.699787488289961,0.725020976459768,0.70098166315947,0.026973026973027,0.043964510066205
"09e969eb-37d0-4502-ad3f-5856b6ad8f43","CMS3",0.704189748578525,0.783098316040868,0.593402705593919,0.838174699965056,0.00599400599400599,0.0127152259505201
"0a41ee42-3997-4fde-8928-c005b34bc0d9","CMS3",0.643646179003664,0.754542951293404,0.559841600801454,0.669962191212828,0.001,0.00274761904761905
"0ab52521-ed65-49f9-8508-e90062281352","CMS2",0.804783765002333,0.613217153242825,0.729889098853453,0.714350479030739,0.016983016983017,0.0295156650578337
"0b007fbb-171b-460c-81bc-a004201cee6c",NA,0.700161216313755,0.826683937533338,0.81011241248162,0.697394174292741,0.959040959040959,0.986393285858527
"0c62b002-8912-4ce0-a2e5-41bc1e3f9996","CMS1",0.546468338897988,0.842716576916794,0.766310286786275,0.761638197636781,0.001,0.00274761904761905
"0caeddec-a904-4c53-be6d-56c83975eae0",NA,0.798123701115473,0.679924759369873,0.723803796630116,0.681187357913348,0.777222777222777,0.839808131942963
"0cb1ff53-394b-4638-a754-8e9fed5ee614","CMS1",0.595502521245447,0.7344757483974,0.735386639741396,0.823689742237628,0.00699300699300699,0.014257826978675
"0cb4425b-6b54-44ef-8594-f91b3b13d403","CMS2",0.836707382202297,0.594104506756024,0.669412054897502,0.801555980566606,0.003996003996004,0.00900661838161838
"0d104bd9-575e-483f-b827-55e617bb6d65","CMS4",0.79148221824843,0.618213285156606,0.779812381611472,0.597612151775299,0.001998001998002,0.0049478418577131
